,Title,Type,Description,Level,Duration,Rating,Review Count,Skills Covered,Prerequisites,Affiliates,URL
0,Data Engineering with AWS,nanodegree,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.",intermediate,4 Months,4.6,1802.0,"AWS Glue,  Amazon S3,  AWS Data Warehouse,  Redshift,  Apache Airflow,  Data Pipeline DAGs,  Data Extraction,  Data Pipeline Creation,  ETL,  OLAP Cubes,  Data Warehouse Architecture,  Cloud Computing Fluency,  Data Pipeline Maintenance","Intermediate Python, intermediate SQL & command line",none,https://www.udacity.com/course/data-engineer-nanodegree--nd027
1,Product Manager,nanodegree,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.",beginner,4 Months,4.7,864.0,"Product Strategy, Product Design, Product Development, Design Sprint, Product Launch",No Experience Required,none,https://www.udacity.com/course/product-manager-nanodegree--nd036
2,C++,nanodegree,Get hands-on experience building five real-world projects in this popular general-purpose programming language.,intermediate,4 Months,4.5,1126.0,"Data Structures & Algorithms, Memory Management, Concurrency, Object-oriented Programming, C++",Intermediate Programming,none,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213
3,Business Analytics,nanodegree,"Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.",beginner,3 Months,4.8,2649.0,"Excel & Spreadsheets, SQL, Data Visualization, Data Dashboards",not specified,Mode,https://www.udacity.com/course/business-analytics-nanodegree--nd098
4,Data Scientist,nanodegree,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",advanced,4 Months,4.7,1212.0,"Machine Learning, Deep Learning, Software Engineering","Python, SQL & Statistics","Bertelsmann, Figure Eight, IBM Watson, Insight, Kaggle, Starbucks",https://www.udacity.com/course/data-scientist-nanodegree--nd025
5,Introduction to Programming,nanodegree,"A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.",beginner,4 Months,4.7,3865.0,"Front-End Development Basics,  HTML,  CSS,  Python Syntax,  Text Processing in Python,  DevTools,  Command Line Interface Basics,  Code Debugging,  Basic JavaScript scripts,  JavaScript Functions,  JavaScript arrays,  JavaScript objects",No coding experience needed,none,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000
6,Digital Marketing,nanodegree,"Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.
",beginner,3 Months,4.7,2418.0,"Digital Marketing,  Marketing fundamentals,  Google Analytics,  Social Media Marketing,  Facebook Marketing,  Search Engine Optimization,  Search Engine Marketing,  Digital marketing metrics,  Display Ads,  Video advertising,  Email marketing,  Branding strategy",No Experience Required.,none,https://www.udacity.com/course/digital-marketing-nanodegree--nd018
7,Data Analyst,nanodegree,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",intermediate,4 Months,4.6,3496.0,"Data Wrangling, Matplotlib, Bootstrapping, Pandas & NumPy, Statistics",Python & SQL,Kaggle,https://www.udacity.com/course/data-analyst-nanodegree--nd002
8,Deep Learning,nanodegree,Deep learning is driving advances in artificial intelligence that are changing our world—enroll now and learn to build and apply your own deep neural networks.,intermediate,4 Months,4.7,3368.0,"Neural Networks,  Perceptron,  Autoencoders,  Convolutional Neural Networks,  PyTorch,  Object Detection,  Recurrent Neural Networks,  Long-short term Memory Networks,  Backpropagation,  Generative Adversarial Networks,  Deep Learning Techniques,  Image Generation,  Hyperparameter Tuning",Intermediate Python,none,https://www.udacity.com/course/deep-learning-nanodegree--nd101
9,Programming for Data Science with Python,nanodegree,"Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.",beginner,3 Months,4.7,1558.0,"Python, Numpy & Pandas, SQL, Git & GitHub",not specified,Mode,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104
10,Full Stack Web Developer,nanodegree,"Learn to design and develop powerful modern web applications that form the foundation for the apps, websites, and systems that people and businesses use every day.",intermediate,4 Months,4.5,749.0,"Python, JavaScript, PostgreSQL, Flask, Docker, Kubernetes","Prior experience with Python, CSS/HTML, and Git",none,https://www.udacity.com/course/full-stack-web-developer-nanodegree--nd0044
11,AWS Machine Learning Engineer,nanodegree,Learn the data science and machine learning skills required to build and deploy machine learning models in production using Amazon SageMaker.,intermediate,5 Months,4.7,143.0,"Feature Engineering,  Machine Learning Fluency,  Data Loading with SageMaker,  Amazon S3,  Neural Network Basics,  Deep Learning Fluency,  Hyperparameter Tuning,  Machine Learning Framework Fundamentals,  SageMaker JumpStart,  Cloud Resource Allocation,  Distributed Model Training with SageMaker,  AWS Lambda ",Basic knowledge of machine learning algorithms and Python programming,AWS,https://www.udacity.com/course/aws-machine-learning-engineer-nanodegree--nd189
12,SQL,nanodegree,"Master SQL, the core language for big data analysis, to enable insight-driven decision-making and strategy.",beginner,2 Months,4.6,339.0,"SQL, PostgreSQL, JOINs, Subqueries, Window Functions, Partitions, Data Cleaning, DDL, DML, Relational and Non-Relational Databases",Basic understanding of data types,none,https://www.udacity.com/course/learn-sql--nd072
13,Machine Learning DevOps Engineer,nanodegree,Gain the DevOps skills required to automate the various aspects and stages of building and monitoring machine learning models.,advanced,4 Months,4.6,115.0,"API development,  Automated model scoring,  CI/CD,  Model testing,  Data Version Control,  Machine Learning Pipelines",Prior experience with Python and Machine Learning,none,https://www.udacity.com/course/machine-learning-dev-ops-engineer-nanodegree--nd0821
14,Artificial Intelligence for Trading,nanodegree,"Complete real-world projects designed by industry experts, covering topics from asset management to trading signal generation. Master AI algorithms for trading, and build your career-ready portfolio.",intermediate,6 Months,4.6,789.0,"Momentum Trading Strategy, Smart Beta, Alpha Factors, Natural Language Processing, Deep Learning, Neural Networks",Python & Mathematics,WorldQuant,https://www.udacity.com/course/ai-for-trading--nd880
15,React,nanodegree,Learn to build declarative user interfaces for the web with React as well as manage state more predictably in your applications with Redux.,intermediate,2 Months,4.7,1269.0,"React Component State,  React Router,  React Hooks,  JavaScript Functions,  Application State Management with Redux,  React-Redux Bindings,  React Component State,  Fetching Data,  React Native Basics,  Data Lifecycle Management,  Jest,  React-Redux Bindings,  React Design Patterns,  Software Testing","HTML & CSS, JavaScript, Asynchronous JavaScript (AJAX) and Web forms",none,https://www.udacity.com/course/react-nanodegree--nd019
16,Self-Driving Car Engineer,nanodegree,Learn the techniques that power self-driving cars across the full stack of a vehicle’s autonomous capabilities.,advanced,5 Months,2.21,715.0,"Computer Vision, Deep Learning, Sensor Fusion, Localization, Self-Driving Cars, Path Planning and Control","Python, C++, Linear Algebra and Calculus","Waymo, Mercedes-Benz",https://www.udacity.com/course/self-driving-car-engineer-nanodegree--nd0013
17,UX Designer,nanodegree,Design impactful user experiences for products in today’s digital world.,beginner,3 Months,4.7,1032.0,"User Research, User Experience, Prototyping, Interactive Design, User Interface Design, Usability Testing",No Experience Required.,none,https://www.udacity.com/course/ux-designer-nanodegree--nd578
18,Java Developer,nanodegree,"Learn back-end development with Java, one of the most popular programming languages in the world.",intermediate,4 Months,4.5,359.0,"Java, Spring Boot, Rest API, MySQL, MongoDB",Intermediate knowledge of Java,none,https://www.udacity.com/course/java-developer-nanodegree--nd035
19,Data Engineering with Microsoft Azure ,nanodegree,Master job-ready Azure skills like designing data models and utilizing other in-demand components of the cloud computing service.,intermediate,4 Months,4.88,715.0,"Database Normalization,  Data Modeling Basics,  PostgreSQL,  SQL and SQL scripting, Denormalized Data Schemas,  Relational data modeling,  OLAP Cubes,  Data Warehouse Architecture,  Data Extraction,  Big Data Fluency,  Apache Spark,  Data Lakes,  Apache Airflow,  Azure Pipelines
","Experience with SQL, Python, Azure, and Github",none,https://www.udacity.com/course/data-engineering-with-microsoft-azure-nanodegree--nd0277
