CourseID,Title,Type,Description,Level,Duration,Rating,Price,URL
25584258,Data Engineering with AWS,nanodegree,"Learn to design data models, build data warehouses and data lakes, automate data pipelines, and manage massive datasets.",intermediate,4 Months,4.6,Paid,https://www.udacity.com/course/data-engineer-nanodegree--nd027
29925453,Product Manager,nanodegree,"Envision and execute the development of industry-defining products, and learn how to successfully bring them to market.",beginner,4 Months,4.7,Free,https://www.udacity.com/course/product-manager-nanodegree--nd036
84135889,C++,nanodegree,Get hands-on experience building five real-world projects in this popular general-purpose programming language.,intermediate,4 Months,4.5,Paid,https://www.udacity.com/course/c-plus-plus-nanodegree--nd213
76460777,Business Analytics,nanodegree,"Gain foundational data skills like analyzing data, modeling business scenarios, and communicating findings.",beginner,3 Months,4.8,Paid,https://www.udacity.com/course/business-analytics-nanodegree--nd098
64418158,Data Scientist,nanodegree,"Build effective machine learning models, run data pipelines, build recommendation systems, and deploy solutions to the cloud with industry-aligned projects.",advanced,4 Months,4.7,Paid,https://www.udacity.com/course/data-scientist-nanodegree--nd025
24517001,Introduction to Programming,nanodegree,"A first step for beginners towards careers in web and app development, machine learning, data science, AI, and more.",beginner,4 Months,4.7,Paid,https://www.udacity.com/course/intro-to-programming-nanodegree--nd000
82456107,Digital Marketing,nanodegree,"Meet the growing demand for skilled digital marketers by learning the latest technologies for building impactful marketing strategies.
",beginner,3 Months,4.7,Free,https://www.udacity.com/course/digital-marketing-nanodegree--nd018
70706267,Data Analyst,nanodegree,"Use Python, SQL, and statistics to uncover insights, communicate critical findings, and create data-driven solutions.",intermediate,4 Months,4.6,Paid,https://www.udacity.com/course/data-analyst-nanodegree--nd002
14749943,Deep Learning,nanodegree,Deep learning is driving advances in artificial intelligence that are changing our world—enroll now and learn to build and apply your own deep neural networks.,intermediate,4 Months,4.7,Free,https://www.udacity.com/course/deep-learning-nanodegree--nd101
97397585,Programming for Data Science with Python,nanodegree,"Learn the fundamental programming tools for data professionals: Python, SQL, terminal, and Git.",beginner,3 Months,4.7,Free,https://www.udacity.com/course/programming-for-data-science-nanodegree--nd104
